[INFO]
Keithley 2400
Meas Time: 4/25/2024 7:44:59 PM
Params: GPIB address = GPIB0::24::INSTR; DataFile = C:\Users\mal\Desktop\data\data_1; Compliance  Level (0.1) = 0.100000000000000; Number of Points (5) = 1000; Minimum Amplitude (1) = -5.000000000000000; Maximum Amplitude (2) = 5.000000000000000; Timeout (100000 ms) = 100000; Source Mode  (0: Voltage) = 0; 4-wire? = FALSE; delay(S) = 0.000000000000000; Start = ; 

[COMMENT]


[DATA]
time (s)	Voltage (V)	Current (A)	absCurrent (A)	Fitting Resistance (Ohms)

4404.96679687499999	-5.000486373901367	-7.89338955655694E-5	7.89338955655694E-5	88.760838527007323
4405.00878906249999	-4.99043083190918	-7.889885455369949E-5	7.889885455369949E-5	88.760838527007323
4405.05078124999999	-4.98072624206543	-7.882562931627035E-5	7.882562931627035E-5	88.760838527007323
4405.09277343749999	-4.970680236816406	-7.874448783695698E-5	7.874448783695698E-5	88.760838527007323
4405.13476562499999	-4.960607528686523	-7.867129170335829E-5	7.867129170335829E-5	88.760838527007323
4405.17675781249999	-4.95057487487793	-7.860061305109411E-5	7.860061305109411E-5	88.760838527007323
4405.21874999999999	-4.940502166748047	-7.853019633330405E-5	7.853019633330405E-5	88.760838527007323
4405.26074218749999	-4.930469512939453	-7.846156950108707E-5	7.846156950108707E-5	88.760838527007323
4405.30273437499999	-4.920475006103516	-7.839163299649954E-5	7.839163299649954E-5	88.760838527007323
4405.34472656249999	-4.910455703735352	-7.832574192434549E-5	7.832574192434549E-5	88.760838527007323
4405.38671874999999	-4.900396347045898	-7.824829663150012E-5	7.824829663150012E-5	88.760838527007323
4405.42871093749999	-4.890695571899414	-7.817738514859229E-5	7.817738514859229E-5	88.760838527007323
4405.47070312499999	-4.880643844604492	-7.810667739249766E-5	7.810667739249766E-5	88.760838527007323
4405.51269531249999	-4.870576858520508	-7.803871994838119E-5	7.803871994838119E-5	88.760838527007323
4405.55468749999999	-4.860549926757812	-7.797240687068552E-5	7.797240687068552E-5	88.760838527007323
4405.59667968749999	-4.850507736206055	-7.790297968313098E-5	7.790297968313098E-5	88.760838527007323
4405.63867187499999	-4.840465545654297	-7.783116598147899E-5	7.783116598147899E-5	88.760838527007323
4405.68066406249999	-4.830469131469727	-7.775903213769197E-5	7.775903213769197E-5	88.760838527007323
4405.72265624999999	-4.820432662963867	-7.769542571622878E-5	7.769542571622878E-5	88.760838527007323
4405.76464843749999	-4.810718536376953	-7.763097528368235E-5	7.763097528368235E-5	88.760838527007323
4405.80664062499999	-4.800685882568359	-7.755511614959687E-5	7.755511614959687E-5	88.760838527007323
4405.84863281249999	-4.790605545043945	-7.748257485218346E-5	7.748257485218346E-5	88.760838527007323
4405.89062499999999	-4.780540466308594	-7.742430898360908E-5	7.742430898360908E-5	88.760838527007323
4405.93261718749999	-4.7705078125	-7.735517283435911E-5	7.735517283435911E-5	88.760838527007323
4405.97460937499999	-4.760475158691406	-7.729143544565886E-5	7.729143544565886E-5	88.760838527007323
4406.01660156249999	-4.750146865844727	-7.722259033471346E-5	7.722259033471346E-5	88.760838527007323
4406.05859374999999	-4.740104675292969	-7.715470565017313E-5	7.715470565017313E-5	88.760838527007323
4406.10058593749999	-4.73005485534668	-7.708482735324651E-5	7.708482735324651E-5	88.760838527007323
4406.14257812499999	-4.720001220703125	-7.70173646742478E-5	7.70173646742478E-5	88.760838527007323
4406.18457031249999	-4.709945678710937	-7.694738451391459E-5	7.694738451391459E-5	88.760838527007323
4406.22656249999999	-4.699913024902344	-7.687594916205853E-5	7.687594916205853E-5	88.760838527007323
4406.26855468749999	-4.689853668212891	-7.680289854761213E-5	7.680289854761213E-5	88.760838527007323
4406.31054687499999	-4.680166244506836	-7.674220250919461E-5	7.674220250919461E-5	88.760838527007323
4406.35253906249999	-4.670129776000977	-7.66781740821898E-5	7.66781740821898E-5	88.760838527007323
4406.39453124999999	-4.660133361816406	-7.659842958673835E-5	7.659842958673835E-5	88.760838527007323
4406.43652343749999	-4.650093078613281	-7.653349894098938E-5	7.653349894098938E-5	88.760838527007323
4406.47851562499999	-4.640047073364258	-7.646949961781502E-5	7.646949961781502E-5	88.760838527007323
4406.52050781249999	-4.6300048828125	-7.639823888894171E-5	7.639823888894171E-5	88.760838527007323
4406.56249999999999	-4.619922637939453	-7.633192581124604E-5	7.633192581124604E-5	88.760838527007323
4406.60449218749999	-4.609893798828125	-7.626360456924886E-5	7.626360456924886E-5	88.760838527007323
4406.64648437499999	-4.600168228149414	-7.619391544722021E-5	7.619391544722021E-5	88.760838527007323
4406.68847656249999	-4.59013557434082	-7.612787885591388E-5	7.612787885591388E-5	88.760838527007323
4406.73046874999999	-4.58015251159668	-7.605989230796695E-5	7.605989230796695E-5	88.760838527007323
4406.77246093749999	-4.57011604309082	-7.59862014092505E-5	7.59862014092505E-5	88.760838527007323
4406.81445312499999	-4.560050964355469	-7.592800830025226E-5	7.592800830025226E-5	88.760838527007323
4406.85644531249999	-4.549991607666016	-7.585721323266625E-5	7.585721323266625E-5	88.760838527007323
4406.89843749999999	-4.539945602416992	-7.578879012726247E-5	7.578879012726247E-5	88.760838527007323
4406.94042968749999	-4.529909133911133	-7.572154572699219E-5	7.572154572699219E-5	88.760838527007323
4406.98242187499999	-4.519886016845703	-7.564995030406862E-5	7.564995030406862E-5	88.760838527007323
4407.02441406249999	-4.510181427001953	-7.558935612905771E-5	7.558935612905771E-5	88.760838527007323
4407.06640624999999	-4.5001220703125	-7.551812450401485E-5	7.551812450401485E-5	88.760838527007323
4407.10742187499999	-4.490129470825195	-7.545297557953745E-5	7.545297557953745E-5	88.760838527007323
4407.14941406249999	-4.480106353759766	-7.538324280176312E-5	7.538324280176312E-5	88.760838527007323
4407.19140624999999	-4.470067977905273	-7.531652227044106E-5	7.531652227044106E-5	88.760838527007323
4407.23339843749999	-4.460014343261719	-7.52453925088048E-5	7.52453925088048E-5	88.760838527007323
4407.27539062499999	-4.449941635131836	-7.517168705817312E-5	7.517168705817312E-5	88.760838527007323
4407.31738281249999	-4.439895629882812	-7.510387513320893E-5	7.510387513320893E-5	88.760838527007323
4407.35937499999999	-4.430181503295898	-7.503529195673764E-5	7.503529195673764E-5	88.760838527007323
4407.40136718749999	-4.420122146606445	-7.497261685784906E-5	7.497261685784906E-5	88.760838527007323
4407.44335937499999	-4.410076141357422	-7.490317511837929E-5	7.490317511837929E-5	88.760838527007323
4407.48535156249999	-4.400106430053711	-7.483435911126435E-5	7.483435911126435E-5	88.760838527007323
4407.52734374999999	-4.390047073364258	-7.477244071196765E-5	7.477244071196765E-5	88.760838527007323
4407.56933593749999	-4.380010604858398	-7.47055746614933E-5	7.47055746614933E-5	88.760838527007323
4407.61132812499999	-4.369943618774414	-7.463587098754942E-5	7.463587098754942E-5	88.760838527007323
4407.65332031249999	-4.359891891479492	-7.456762250512838E-5	7.456762250512838E-5	88.760838527007323
4407.69531249999999	-4.349868774414062	-7.450107659678906E-5	7.450107659678906E-5	88.760838527007323
4407.73730468749999	-4.340167999267578	-7.443946378771216E-5	7.443946378771216E-5	88.760838527007323
4407.77929687499999	-4.330087661743164	-7.436626765411347E-5	7.436626765411347E-5	88.760838527007323
4407.82128906249999	-4.320112228393555	-7.429510878864676E-5	7.429510878864676E-5	88.760838527007323
4407.86328124999999	-4.31007194519043	-7.422504131682217E-5	7.422504131682217E-5	88.760838527007323
4407.90527343749999	-4.300033569335937	-7.415705476887524E-5	7.415705476887524E-5	88.760838527007323
4407.94726562499999	-4.290000915527344	-7.409548561554402E-5	7.409548561554402E-5	88.760838527007323
4407.98925781249999	-4.279914855957031	-7.402528717648238E-5	7.402528717648238E-5	88.760838527007323
4408.03124999999999	-4.269865036010742	-7.395533611997962E-5	7.395533611997962E-5	88.760838527007323
4408.07324218749999	-4.259490966796875	-7.387869118247181E-5	7.387869118247181E-5	88.760838527007323
4408.11523437499999	-4.249414443969727	-7.381482282653451E-5	7.381482282653451E-5	88.760838527007323
4408.15722656249999	-4.239372253417969	-7.374634151346982E-5	7.374634151346982E-5	88.760838527007323
4408.19921874999999	-4.229408264160156	-7.367378566414118E-5	7.367378566414118E-5	88.760838527007323
4408.24121093749999	-4.21934700012207	-7.360335439443588E-5	7.360335439443588E-5	88.760838527007323
4408.28320312499999	-4.209648132324219	-7.35441135475412E-5	7.35441135475412E-5	88.760838527007323
4408.32519531249999	-4.1995849609375	-7.347133941948414E-5	7.347133941948414E-5	88.760838527007323
4408.36718749999999	-4.189556121826172	-7.340661250054836E-5	7.340661250054836E-5	88.760838527007323
4408.40917968749999	-4.179523468017578	-7.333552639465779E-5	7.333552639465779E-5	88.760838527007323
4408.45117187499999	-4.169454574584961	-7.327368075493723E-5	7.327368075493723E-5	88.760838527007323
4408.49316406249999	-4.15943717956543	-7.319774886127561E-5	7.319774886127561E-5	88.760838527007323
4408.53515624999999	-4.149415969848633	-7.313043170142919E-5	7.313043170142919E-5	88.760838527007323
4408.57714843749999	-4.139398574829102	-7.305790495593101E-5	7.305790495593101E-5	88.760838527007323
4408.61914062499999	-4.129667282104492	-7.29986495571211E-5	7.29986495571211E-5	88.760838527007323
4408.66113281249999	-4.119638442993164	-7.292923692148179E-5	7.292923692148179E-5	88.760838527007323
4408.70312499999999	-4.109546661376953	-7.286710024345666E-5	7.286710024345666E-5	88.760838527007323
4408.74511718749999	-4.099479675292969	-7.279576675500721E-5	7.279576675500721E-5	88.760838527007323
4408.78710937499999	-4.089450836181641	-7.272679067682475E-5	7.272679067682475E-5	88.760838527007323
4408.82910156249999	-4.079387664794922	-7.265698513947427E-5	7.265698513947427E-5	88.760838527007323
4408.87109374999999	-4.069360733032227	-7.258375990204513E-5	7.258375990204513E-5	88.760838527007323
4408.91308593749999	-4.059377670288086	-7.251367787830532E-5	7.251367787830532E-5	88.760838527007323
4408.95410156249999	-4.049676895141602	-7.244729204103351E-5	7.244729204103351E-5	88.760838527007323
4408.99609374999999	-4.039600372314453	-7.238207035697997E-5	7.238207035697997E-5	88.760838527007323
4409.03808593749999	-4.029565811157227	-7.231484050862491E-5	7.231484050862491E-5	88.760838527007323
4409.08007812499999	-4.019512176513672	-7.224534056149423E-5	7.224534056149423E-5	88.760838527007323
4409.12207031249999	-4.009466171264648	-7.217944948934019E-5	7.217944948934019E-5	88.760838527007323
4409.16406249999999	-3.99943733215332	-7.211093907244504E-5	7.211093907244504E-5	88.760838527007323
4409.20605468749999	-3.989414215087891	-7.204461144283414E-5	7.204461144283414E-5	88.760838527007323
4409.24804687499999	-3.979404449462891	-7.197471859399229E-5	7.197471859399229E-5	88.760838527007323
4409.29003906249999	-3.969371795654297	-7.190424366854131E-5	7.190424366854131E-5	88.760838527007323
4409.33203124999999	-3.959659576416016	-7.183598063420504E-5	7.183598063420504E-5	88.760838527007323
4409.37402343749999	-3.949607849121094	-7.176562212407589E-5	7.176562212407589E-5	88.760838527007323
4409.41601562499999	-3.939552307128906	-7.169684977270663E-5	7.169684977270663E-5	88.760838527007323
4409.45800781249999	-3.929489135742187	-7.162822294048965E-5	7.162822294048965E-5	88.760838527007323
4409.49999999999999	-3.919460296630859	-7.156241917982697E-5	7.156241917982697E-5	88.760838527007323
4409.54199218749999	-3.909402847290039	-7.148704025894403E-5	7.148704025894403E-5	88.760838527007323
4409.58398437499999	-3.899341583251953	-7.142142567317933E-5	7.142142567317933E-5	88.760838527007323
4409.62597656249999	-3.889358520507812	-7.135015039239079E-5	7.135015039239079E-5	88.760838527007323
4409.66796874999999	-3.879680633544922	-7.128514698706567E-5	7.128514698706567E-5	88.760838527007323
4409.70996093749999	-3.869636535644531	-7.121561793610454E-5	7.121561793610454E-5	88.760838527007323
4409.75195312499999	-3.859577178955078	-7.115238986443728E-5	7.115238986443728E-5	88.760838527007323
4409.79394531249999	-3.849527359008789	-7.108395220711827E-5	7.108395220711827E-5	88.760838527007323
4409.83593749999999	-3.839519500732422	-7.101883238647133E-5	7.101883238647133E-5	88.760838527007323
4409.87792968749999	-3.829465866088867	-7.094333705026656E-5	7.094333705026656E-5	88.760838527007323
4409.91992187499999	-3.819414138793945	-7.087606354616582E-5	7.087606354616582E-5	88.760838527007323
4409.96191406249999	-3.809427261352539	-7.080868817865849E-5	7.080868817865849E-5	88.760838527007323
4410.00390624999999	-3.79939079284668	-7.073223241604865E-5	7.073223241604865E-5	88.760838527007323
4410.04589843749999	-3.78965950012207	-7.066619582474232E-5	7.066619582474232E-5	88.760838527007323
4410.08789062499999	-3.779607772827148	-7.059957715682685E-5	7.059957715682685E-5	88.760838527007323
4410.12988281249999	-3.768901824951172	-7.0530193625018E-5	7.0530193625018E-5	88.760838527007323
4410.17187499999999	-3.758838653564453	-7.045561505947262E-5	7.045561505947262E-5	88.760838527007323
4410.21386718749999	-3.749111175537109	-7.038834155537188E-5	7.038834155537188E-5	88.760838527007323
4410.25585937499999	-3.739078521728516	-7.032525900285691E-5	7.032525900285691E-5	88.760838527007323
4410.29785156249999	-3.729038238525391	-7.02506658853963E-5	7.02506658853963E-5	88.760838527007323
4410.33984374999999	-3.719032287597656	-7.018088945187628E-5	7.018088945187628E-5	88.760838527007323
4410.38183593749999	-3.709009170532227	-7.011739944573492E-5	7.011739944573492E-5	88.760838527007323
4410.42382812499999	-3.698945999145508	-7.004560029599816E-5	7.004560029599816E-5	88.760838527007323
4410.46582031249999	-3.688913345336914	-6.997062882874161E-5	6.997062882874161E-5	88.760838527007323
4410.50781249999999	-3.678852081298828	-6.989910616539419E-5	6.989910616539419E-5	88.760838527007323
4410.54980468749999	-3.669147491455078	-6.983823550399393E-5	6.983823550399393E-5	88.760838527007323
4410.59179687499999	-3.659112930297852	-6.976936128921807E-5	6.976936128921807E-5	88.760838527007323
4410.63378906249999	-3.649074554443359	-6.9694739067927E-5	6.9694739067927E-5	88.760838527007323
4410.67578124999999	-3.638978958129883	-6.962443876545876E-5	6.962443876545876E-5	88.760838527007323
4410.71777343749999	-3.629011154174805	-6.955722346901894E-5	6.955722346901894E-5	88.760838527007323
4410.75976562499999	-3.618959426879883	-6.948519148863852E-5	6.948519148863852E-5	88.760838527007323
4410.80175781249999	-3.608922958374023	-6.941775791347027E-5	6.941775791347027E-5	88.760838527007323
4410.84374999999999	-3.598897933959961	-6.934802513569593E-5	6.934802513569593E-5	88.760838527007323
4410.88476562499999	-3.588813781738281	-6.927915092092007E-5	6.927915092092007E-5	88.760838527007323
4410.92675781249999	-3.579093933105469	-6.921686872374266E-5	6.921686872374266E-5	88.760838527007323
4410.96874999999999	-3.569070816040039	-6.91450695740059E-5	6.91450695740059E-5	88.760838527007323
4411.01074218749999	-3.559011459350586	-6.907606439199299E-5	6.907606439199299E-5	88.760838527007323
4411.05273437499999	-3.549032211303711	-6.900652078911662E-5	6.900652078911662E-5	88.760838527007323
4411.09472656249999	-3.539009094238281	-6.894051330164075E-5	6.894051330164075E-5	88.760838527007323
4411.13671874999999	-3.528938293457031	-6.886785558890551E-5	6.886785558890551E-5	88.760838527007323
4411.17871093749999	-3.518899917602539	-6.87977735651657E-5	6.87977735651657E-5	88.760838527007323
4411.22070312499999	-3.50883674621582	-6.873310485389084E-5	6.873310485389084E-5	88.760838527007323
4411.26269531249999	-3.49913215637207	-6.866411422379315E-5	6.866411422379315E-5	88.760838527007323
4411.30468749999999	-3.489059448242187	-6.859544373583049E-5	6.859544373583049E-5	88.760838527007323
4411.34667968749999	-3.479036331176758	-6.852071965113282E-5	6.852071965113282E-5	88.760838527007323
4411.38867187499999	-3.468994140625	-6.846450560260564E-5	6.846450560260564E-5	88.760838527007323
4411.43066406249999	-3.458988189697266	-6.839436537120491E-5	6.839436537120491E-5	88.760838527007323
4411.47265624999999	-3.448968887329102	-6.832918734289706E-5	6.832918734289706E-5	88.760838527007323
4411.51464843749999	-3.438919067382812	-6.825024320278317E-5	6.825024320278317E-5	88.760838527007323
4411.55664062499999	-3.428863525390625	-6.81848032400012E-5	6.81848032400012E-5	88.760838527007323
4411.59863281249999	-3.418787002563477	-6.811443017795682E-5	6.811443017795682E-5	88.760838527007323
4411.64062499999999	-3.409076690673828	-6.805024167988449E-5	6.805024167988449E-5	88.760838527007323
4411.68261718749999	-3.399057388305664	-6.797573587391526E-5	6.797573587391526E-5	88.760838527007323
4411.72460937499999	-3.389007568359375	-6.790748739149421E-5	6.790748739149421E-5	88.760838527007323
4411.76660156249999	-3.379011154174805	-6.783107528463006E-5	6.783107528463006E-5	88.760838527007323
4411.80859374999999	-3.368978500366211	-6.776381633244455E-5	6.776381633244455E-5	88.760838527007323
4411.85058593749999	-3.358909606933594	-6.769647006876767E-5	6.769647006876767E-5	88.760838527007323
4411.89257812499999	-3.348865509033203	-6.76249765092507E-5	6.76249765092507E-5	88.760838527007323
4411.93457031249999	-3.338809967041016	-6.755090726073831E-5	6.755090726073831E-5	88.760838527007323
4411.97656249999999	-3.32908821105957	-6.748700980097055E-5	6.748700980097055E-5	88.760838527007323
4412.01855468749999	-3.319051742553711	-6.742138066329062E-5	6.742138066329062E-5	88.760838527007323
4412.06054687499999	-3.309017181396484	-6.735461647622287E-5	6.735461647622287E-5	88.760838527007323
4412.10253906249999	-3.298954010009766	-6.728048902004957E-5	6.728048902004957E-5	88.760838527007323
4412.14453124999999	-3.288984298706055	-6.721456884406507E-5	6.721456884406507E-5	88.760838527007323
4412.18652343749999	-3.27894401550293	-6.714393384754658E-5	6.714393384754658E-5	88.760838527007323
4412.22851562499999	-3.268579483032227	-6.707427382934839E-5	6.707427382934839E-5	88.760838527007323
4412.27050781249999	-3.25853157043457	-6.700318772345781E-5	6.700318772345781E-5	88.760838527007323
4412.31249999999999	-3.248418807983398	-6.693119939882308E-5	6.693119939882308E-5	88.760838527007323
4412.35449218749999	-3.238412857055664	-6.686095730401576E-5	6.686095730401576E-5	88.760838527007323
4412.39648437499999	-3.228376388549805	-6.678748468402773E-5	6.678748468402773E-5	88.760838527007323
4412.43847656249999	-3.218334197998047	-6.671740266028792E-5	6.671740266028792E-5	88.760838527007323
4412.48046874999999	-3.208347320556641	-6.664515240117908E-5	6.664515240117908E-5	88.760838527007323
4412.52246093749999	-3.198635101318359	-6.657773337792605E-5	6.657773337792605E-5	88.760838527007323
4412.56445312499999	-3.188566207885742	-6.65065017528832E-5	6.65065017528832E-5	88.760838527007323
4412.60644531249999	-3.178510665893555	-6.64372491883114E-5	6.64372491883114E-5	88.760838527007323
4412.64843749999999	-3.168468475341797	-6.636764737777412E-5	6.636764737777412E-5	88.760838527007323
4412.69042968749999	-3.158422470092773	-6.629184645134956E-5	6.629184645134956E-5	88.760838527007323
